Site,PPQ,ICP_Overlap,ICP_RSL,ICP_RMS_Final,Vol_Step,Vol_Cell_Height,Vol_Match_Cells,Vol_Surface,Vol_Change_Total,Vol_Change_Gain,Vol_Change_Loss
VL3,1,95,1000000,0.0183949,0.01,Max,93.5,17.758,-0.322,0.234,-0.555
VL3,2,95,1000000,0.0283086,0.01,Max,96.4,23.261,-0.479,0.485,-0.964
VL3,3,95,1000000,0.0458365,0.01,Max,93.9,20.885,-0.186,0.618,-0.804
M1,1,95,1000000,0.0130379,0.01,Max,97.7,18.152,-0.182,0.15,-0.331
M1,2,95,1000000,0.0216936,0.01,Max,97.4,20.607,0.153,0.526,-0.372
M1,3,95,1000000,0.0169661,0.01,Max,95.8,20.623,0.164,0.412,-0.248
VL1,1,95,1000000,0.0364575,0.01,Max,95.5,14.281,-0.212,0.387,-0.599
VL1,2,95,1000000,0.0542006,0.01,Max,92.7,16.481,-0.99,0.728,-1.718
VL1,3,95,1000000,0.0278076,0.01,Max,94.2,16.474,-0.49,0.347,-0.838
VL2,2,95,1000000,0.0287856,0.01,Max,96.9,17.533,-0.214,0.527,-0.741
VL2,3,95,1000000,0.0329499,0.01,Max,91.3,20.125,-0.569,0.547,-1.116
VH2,1,95,1000000,0.0355846,0.01,Max,97.9,16.914,-0.598,0.289,-0.887
VH2,2,95,1000000,0.0512638,0.01,Max,97.6,19.625,-0.379,0.628,-1.007
VH2,3,95,1000000,0.0357982,0.01,Max,99.4,21.07,-0.434,0.397,-0.831
VH1,1,95,1000000,0.0370293,0.01,Max,95.5,15.784,0.055,0.794,-0.739
VH1,2,95,1000000,0.0460177,0.01,Max,96.1,17.687,-0.388,0.614,-1.001
VH1,3,95,1000000,0.0455027,0.01,Max,95.6,27.789,0.016,1.088,-1.072
VH3,1,95,1000000,0.039622,0.01,Max,96.1,19.545,-0.029,0.636,-0.665
VH3,2,95,1000000,0.0234837,0.01,Max,96.5,20.162,-0.248,0.29,-0.538
VH3,3,95,1000000,0.0288538,0.01,Max,97.3,14.344,-0.079,0.302,-0.381
M3,1,95,1000000,0.0210133,0.01,Max,96.8,17.408,-0.079,0.349,-0.428
M3,2,95,1000000,0.0162096,0.01,Max,97.8,16.987,0.253,0.452,-0.2
M3,3,95,1000000,0.0179287,0.01,Max,98.3,19.562,0.019,0.355,-0.336
M2,1,95,1000000,0.01372,0.01,Max,98.1,16.847,-0.024,0.191,-0.215
M2,2,95,1000000,0.0185969,0.01,Max,96.9,17.74,-0.121,0.282,-0.402
M2,3,95,1000000,0.0216556,0.01,Max,95.2,16.901,0.064,0.461,-0.397
